City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Nouadhibou,MR,69.8,clear sky,20.93,-17.03,El Medina
2,Hobart,AU,64.4,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
5,Busselton,AU,66.0,clear sky,-33.65,115.33,Observatory Guest House
17,Oxapampa,PE,56.32,light rain,-10.58,-75.4,Hotel Heidinger
18,Camana,PE,62.87,broken clouds,-16.62,-72.71,Hostal Morales
19,Castro,BR,60.17,broken clouds,-24.79,-50.01,CHACARA BAILLY
21,Cidreira,BR,67.01,overcast clouds,-30.18,-50.21,Hotel Castelo
22,Mataura,NZ,61.0,light rain,-46.19,168.86,Ellie's Villa
35,Puerto Ayora,EC,66.99,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
39,Jalu,LY,59.38,clear sky,29.03,21.55,Jalu Hotel
41,Northam,GB,51.01,broken clouds,51.03,-4.22,Durrant House Hotel
43,Bluff,NZ,61.0,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
44,Esperance,AU,55.4,overcast clouds,-33.87,121.9,Hospitality Esperance
45,Sabaudia,IT,57.99,broken clouds,41.3,13.03,Oasi di Kufra
46,Lagoa,PT,64.99,broken clouds,39.05,-27.98,Casa Das Faias
48,Samur,RU,56.03,scattered clouds,41.83,48.49,Samur
51,Cape Town,ZA,62.01,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
54,Svetlyy,RU,57.2,broken clouds,54.67,20.13,"Gostinitsa-Kafe, Alena"
57,Tuatapere,NZ,61.0,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
59,New Norfolk,AU,63.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
65,Ponta Do Sol,PT,64.4,scattered clouds,32.67,-17.1,Hotel do Campo
67,Mar Del Plata,AR,55.4,drizzle,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
71,Bereda,ES,52.0,light rain,43.27,-7.54,Pazo de Verdes
79,Shenjiamen,CN,63.7,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
95,Ribeira Grande,PT,64.54,few clouds,38.52,-28.7,Quinta da Meia Eira
96,Riyadh,SA,64.4,clear sky,24.69,46.72,InterContinental Riyadh
97,Bethel,US,63.0,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
98,Kijang,KR,60.8,clear sky,35.24,129.21,Brown Dot Gijang Yeonhwari
100,Norfolk,US,60.01,overcast clouds,42.17,-71.25,Residence Inn by Marriott Boston Norwood/Canton
103,Port Elizabeth,ZA,66.2,mist,-33.92,25.57,39 On Nile Guest House
106,Hualmay,PE,62.67,scattered clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
107,Agadir,MA,64.4,overcast clouds,30.42,-9.6,Iberostar Founty Beach
