City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
0,Catamarca,-28.47,-65.79,72.0,81,10,1.01,clear sky,AR,2020-10-23 03:56:17
1,Nouadhibou,20.93,-17.03,69.8,83,0,18.34,clear sky,MR,2020-10-23 03:56:17
2,Hobart,-42.88,147.33,64.4,48,75,5.82,broken clouds,AU,2020-10-23 03:53:21
3,Narsaq,60.92,-46.05,23.0,73,78,2.24,broken clouds,GL,2020-10-23 03:56:17
4,Vardo,70.37,31.11,35.6,95,75,26.4,broken clouds,NO,2020-10-23 03:56:17
5,Busselton,-33.65,115.33,66.0,53,0,3.0,clear sky,AU,2020-10-23 03:56:18
6,Punta Arenas,-53.15,-70.92,42.8,75,0,3.36,clear sky,CL,2020-10-23 03:56:18
7,Beloha,-25.17,45.05,73.38,67,0,12.06,clear sky,MG,2020-10-23 03:56:18
8,Olafsvik,64.89,-23.71,42.58,70,100,35.81,moderate rain,IS,2020-10-23 03:56:18
9,Dakar,14.69,-17.44,82.4,88,75,9.17,broken clouds,SN,2020-10-23 03:53:23
10,Albany,42.6,-73.97,57.0,85,86,1.23,overcast clouds,US,2020-10-23 03:56:18
11,Ushuaia,-54.8,-68.3,42.8,75,40,20.8,scattered clouds,AR,2020-10-23 03:51:19
12,Rikitea,-23.12,-134.97,74.66,76,80,10.04,broken clouds,PF,2020-10-23 03:56:19
13,Faanui,-16.48,-151.75,79.84,71,34,9.6,scattered clouds,PF,2020-10-23 03:51:17
14,Kalmunai,7.42,81.82,86.94,59,94,1.86,overcast clouds,LK,2020-10-23 03:56:19
15,Bealanana,-14.55,48.73,65.07,70,42,7.23,scattered clouds,MG,2020-10-23 03:56:20
16,Bambous Virieux,-20.34,57.76,77.0,73,40,12.75,scattered clouds,MU,2020-10-23 03:56:20
17,Oxapampa,-10.58,-75.4,56.32,87,82,4.18,light rain,PE,2020-10-23 03:56:20
18,Camana,-16.62,-72.71,62.87,80,83,8.32,broken clouds,PE,2020-10-23 03:56:20
19,Castro,-24.79,-50.01,60.17,88,73,12.66,broken clouds,BR,2020-10-23 03:55:15
20,Carnarvon,-24.87,113.63,77.0,61,0,14.99,clear sky,AU,2020-10-23 03:56:21
