City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cidreira,-30.18,-50.21,68.88,93,97,7.36,BR,2020-10-21 01:50:44
1,Lata,40.16,-8.33,61.0,94,17,1.01,PT,2020-10-21 01:50:44
2,Port Alfred,-33.59,26.89,55.51,76,0,7.81,ZA,2020-10-21 01:50:44
3,Yulara,-25.24,130.99,89.6,31,0,5.82,AU,2020-10-21 01:50:45
4,Macusani,-14.08,-70.43,38.32,77,94,5.99,PE,2020-10-21 01:50:45
5,Ushuaia,-54.8,-68.3,41.0,75,75,5.82,AR,2020-10-21 01:48:02
6,Upernavik,72.79,-56.15,32.74,92,100,2.86,GL,2020-10-21 01:50:44
7,Nanortalik,60.14,-45.24,35.64,93,100,15.12,GL,2020-10-21 01:50:45
8,Busselton,-33.65,115.33,70.0,41,0,6.29,AU,2020-10-21 01:50:45
9,Ponta Do Sol,32.67,-17.1,66.2,72,20,3.36,PT,2020-10-21 01:50:46
10,Punta Arenas,-53.15,-70.92,41.0,68,75,6.93,CL,2020-10-21 01:47:01
11,San Antonio,29.42,-98.49,84.2,54,40,20.8,US,2020-10-21 01:49:23
12,Moindou,-21.69,165.68,82.4,54,75,13.87,NC,2020-10-21 01:50:46
13,Albany,42.6,-73.97,57.0,81,100,4.03,US,2020-10-21 01:49:00
14,Victor Harbor,-35.57,138.62,63.0,72,50,7.83,AU,2020-10-21 01:50:47
15,Sarangani,5.4,125.46,84.07,74,92,9.82,PH,2020-10-21 01:50:47
16,San Quintin,30.48,-115.95,66.63,89,1,12.06,MX,2020-10-21 01:50:47
17,Illela,13.73,5.3,82.15,27,0,1.16,NG,2020-10-21 01:50:47
18,Saint-Philippe,-21.36,55.77,69.01,56,15,4.7,RE,2020-10-21 01:50:48
19,Castro,-24.79,-50.01,62.94,89,58,5.91,BR,2020-10-21 01:50:17
20,Alta Floresta,-9.88,-56.09,77.74,62,0,0.36,BR,2020-10-21 01:47:55
21,Beira,-19.84,34.84,74.7,91,1,3.53,MZ,2020-10-21 01:50:48
22,Ambovombe,-25.17,46.08,68.32,83,0,2.37,MG,2020-10-21 01:50:48
23,Ribeira Grande,38.52,-28.7,63.55,68,78,25.43,PT,2020-10-21 01:50:49
24,Longyearbyen,78.22,15.64,24.8,73,40,3.36,SJ,2020-10-21 01:50:49
25,Vagur,61.47,-6.81,45.79,70,44,26.57,FO,2020-10-21 01:50:49
26,Mataura,-46.19,168.86,57.0,61,17,11.01,NZ,2020-10-21 01:50:49
27,Codrington,-38.27,141.97,58.26,70,4,7.47,AU,2020-10-21 01:50:49
28,Bhind,26.56,78.79,73.69,28,0,4.23,IN,2020-10-21 01:50:50
29,New Norfolk,-42.78,147.06,68.0,54,96,1.99,AU,2020-10-21 01:50:50
30,Bluff,-46.6,168.33,57.0,61,50,11.01,NZ,2020-10-21 01:50:50
31,Port Elizabeth,-33.92,25.57,51.8,81,7,8.05,ZA,2020-10-21 01:50:47
32,Butaritari,3.07,172.79,82.38,73,46,10.36,KI,2020-10-21 01:50:51
33,Faanui,-16.48,-151.75,78.96,80,1,14.27,PF,2020-10-21 01:50:51
34,Kapaa,22.08,-159.32,81.0,78,90,4.7,US,2020-10-21 01:50:51
35,Mwinilunga,-11.74,24.43,63.27,51,0,5.61,ZM,2020-10-21 01:50:51
36,Bredasdorp,-34.53,20.04,41.0,93,0,2.24,ZA,2020-10-21 01:50:52
37,Qinhuangdao,39.93,119.59,59.31,32,0,11.61,CN,2020-10-21 01:50:52
38,Kuminskiy,58.67,66.57,34.92,92,98,5.59,RU,2020-10-21 01:50:52
39,Mayumba,-3.43,10.66,76.69,88,100,6.08,GA,2020-10-21 01:50:52
40,Udachnyy,66.42,112.4,1.4,91,90,2.24,RU,2020-10-21 01:50:52
41,Chokurdakh,70.63,147.92,9.68,96,70,4.83,RU,2020-10-21 01:50:32
42,Hermanus,-34.42,19.23,50.0,85,0,1.01,ZA,2020-10-21 01:50:53
43,Kalmunai,7.42,81.82,81.34,69,0,3.85,LK,2020-10-21 01:50:53
44,Torbay,47.67,-52.73,57.99,93,90,19.46,CA,2020-10-21 01:50:53
45,Isangel,-19.55,169.27,82.4,65,75,6.93,VU,2020-10-21 01:50:54
46,Saskylakh,71.92,114.08,19.78,97,91,8.52,RU,2020-10-21 01:50:54
47,Thompson,55.74,-97.86,26.6,79,90,2.24,CA,2020-10-21 01:50:54
48,Bela,25.93,81.98,75.7,52,0,3.13,IN,2020-10-21 01:50:54
49,Hilo,19.73,-155.09,84.2,51,20,12.75,US,2020-10-21 01:50:30
50,Matara,5.95,80.54,80.58,81,9,11.23,LK,2020-10-21 01:50:55
51,Wyndham,37.7,-77.61,64.99,93,1,1.7,US,2020-10-21 01:50:55
52,Wobulenzi,0.73,32.51,64.54,99,99,1.57,UG,2020-10-21 01:50:56
53,Inhambane,-23.86,35.38,72.28,89,30,8.7,MZ,2020-10-21 01:50:56
54,Gladstone,-23.85,151.25,77.0,61,90,11.41,AU,2020-10-21 01:47:42
55,Coquimbo,-29.95,-71.34,53.6,93,0,4.7,CL,2020-10-21 01:50:56
56,Tiksi,71.69,128.87,8.44,92,89,8.77,RU,2020-10-21 01:50:57
57,Brae,60.4,-1.35,48.2,87,100,26.4,GB,2020-10-21 01:50:57
58,Sangin,32.07,64.84,48.88,43,0,4.29,AF,2020-10-21 01:50:57
59,Yinchuan,38.47,106.27,47.71,37,0,2.1,CN,2020-10-21 01:50:57
60,Cape Town,-33.93,18.42,50.0,87,0,2.24,ZA,2020-10-21 01:48:46
61,Severo-Kurilsk,50.68,156.12,42.6,65,59,28.72,RU,2020-10-21 01:50:38
62,Mlimba,-8.8,35.82,72.73,74,82,3.56,TZ,2020-10-21 01:50:58
63,Puerto Carreno,6.19,-67.49,80.46,80,100,2.75,CO,2020-10-21 01:50:58
64,Ericeira,38.96,-9.42,61.0,93,0,1.99,PT,2020-10-21 01:50:58
65,Dingle,11.0,122.67,84.0,80,52,15.03,PH,2020-10-21 01:50:59
66,Antofagasta,-23.65,-70.4,59.0,77,75,5.82,CL,2020-10-21 01:49:12
67,Tambovka,50.1,128.05,51.8,66,40,11.18,RU,2020-10-21 01:50:59
68,Constitucion,-35.33,-72.42,51.31,78,24,14.25,CL,2020-10-21 01:50:59
69,Rikitea,-23.12,-134.97,74.08,75,24,9.31,PF,2020-10-21 01:50:58
70,Naze,28.37,129.48,80.6,74,75,14.99,JP,2020-10-21 01:51:00
71,Cabo San Lucas,22.89,-109.91,84.0,69,5,17.22,MX,2020-10-21 01:51:00
72,Te Anau,-45.42,167.72,54.68,49,8,6.53,NZ,2020-10-21 01:51:00
73,Berlevag,70.86,29.09,36.91,79,95,1.28,NO,2020-10-21 01:51:00
74,Vaini,-21.2,-175.2,77.0,69,75,10.29,TO,2020-10-21 01:50:34
75,Puerto Ayora,-0.74,-90.35,69.01,95,94,7.0,EC,2020-10-21 01:51:01
76,Mandalgovi,45.76,106.27,28.92,80,0,14.9,MN,2020-10-21 01:51:01
77,Souillac,-20.52,57.52,73.4,78,40,12.75,MU,2020-10-21 01:51:01
78,Hobart,-42.88,147.33,68.0,51,40,8.05,AU,2020-10-21 01:49:13
79,Mikhaylovka,50.06,43.24,35.01,80,0,4.0,RU,2020-10-21 01:51:02
80,Esperance,-33.87,121.9,62.6,93,90,14.99,AU,2020-10-21 01:51:02
81,Tezu,27.92,96.17,74.43,77,60,1.39,IN,2020-10-21 01:51:02
82,Tasiilaq,65.61,-37.64,32.0,96,100,23.04,GL,2020-10-21 01:50:39
83,Arroio Grande,-32.24,-53.09,60.13,76,100,12.71,BR,2020-10-21 01:48:38
84,Hithadhoo,-0.6,73.08,82.04,80,65,13.71,MV,2020-10-21 01:50:32
85,Pangkalanbuun,-2.68,111.62,90.48,62,42,1.23,ID,2020-10-21 01:51:03
86,Labuhan,-6.88,112.21,85.87,64,22,4.21,ID,2020-10-21 01:51:03
87,Yellowknife,62.46,-114.35,21.2,79,20,9.17,CA,2020-10-21 01:50:06
88,Bethel,41.37,-73.41,60.01,100,1,0.58,US,2020-10-21 01:48:40
89,Salento,4.64,-75.57,57.18,80,83,3.13,CO,2020-10-21 01:46:56
90,Colac,-38.33,143.58,59.0,76,59,2.24,AU,2020-10-21 01:51:04
91,East London,-33.02,27.91,57.49,66,0,5.5,ZA,2020-10-21 01:50:39
92,Mende,44.67,3.5,46.17,90,85,21.21,FR,2020-10-21 01:51:04
93,Port Blair,11.67,92.75,82.62,81,23,15.32,IN,2020-10-21 01:51:05
94,San Angelo,31.46,-100.44,78.8,54,1,6.93,US,2020-10-21 01:51:05
95,Ketchikan,55.34,-131.65,46.4,93,75,3.36,US,2020-10-21 01:51:05
96,Huaicheng,23.91,112.19,72.7,55,0,4.83,CN,2020-10-21 01:51:05
97,Luwuk,-0.95,122.79,85.78,58,81,6.96,ID,2020-10-21 01:51:05
98,Altoona,40.52,-78.39,61.0,91,96,2.71,US,2020-10-21 01:48:24
99,Sinnamary,5.38,-52.95,80.11,80,100,12.66,GF,2020-10-21 01:51:06
100,Panjab,34.39,67.02,28.26,86,0,4.99,AF,2020-10-21 01:51:06
101,Pontoise,49.08,2.17,57.0,93,100,6.93,FR,2020-10-21 01:51:06
102,Calama,-22.47,-68.93,59.0,13,0,6.93,CL,2020-10-21 01:50:39
103,Georgetown,5.41,100.34,82.4,83,20,3.36,MY,2020-10-21 01:50:36
104,Uvira,-3.41,29.15,71.2,73,100,2.53,CD,2020-10-21 01:51:07
105,Haimen,23.19,116.61,75.2,60,75,15.66,CN,2020-10-21 01:51:07
106,Umm Lajj,25.02,37.27,80.44,34,0,4.41,SA,2020-10-21 01:51:08
107,Latung,5.5,120.88,84.06,76,100,15.99,PH,2020-10-21 01:51:08
108,Nanpara,27.87,81.5,75.99,92,0,1.01,IN,2020-10-21 01:46:26
109,Ust-Nera,64.57,143.2,12.15,86,46,1.92,RU,2020-10-21 01:51:08
110,Broome,42.25,-75.83,51.01,100,90,5.82,US,2020-10-21 01:50:48
111,Narsaq,60.92,-46.05,30.2,86,100,2.24,GL,2020-10-21 01:51:09
112,Saint-Pierre,-21.34,55.48,69.01,56,1,4.7,RE,2020-10-21 01:51:09
113,Norman Wells,65.28,-126.83,21.2,92,90,14.99,CA,2020-10-21 01:51:09
114,Vardo,70.37,31.11,38.26,75,77,3.8,NO,2020-10-21 01:51:02
115,Sungaipenuh,-2.08,101.38,77.36,66,71,2.13,ID,2020-10-21 01:51:10
116,Limekilns,56.03,-3.48,53.6,81,100,4.7,GB,2020-10-21 01:51:10
117,Krasnoselkup,65.7,82.47,25.81,98,100,10.63,RU,2020-10-21 01:51:10
118,Vila Franca Do Campo,37.72,-25.43,59.0,72,20,11.41,PT,2020-10-21 01:51:10
119,Oyama,36.3,139.8,71.01,59,75,14.99,JP,2020-10-21 01:51:10
120,Tuatapere,-46.13,167.68,57.0,61,68,11.01,NZ,2020-10-21 01:51:11
121,Portland,45.52,-122.68,60.8,59,75,3.36,US,2020-10-21 01:46:33
122,Cairns,-16.92,145.77,87.01,58,0,10.29,AU,2020-10-21 01:51:11
123,Clyde River,70.47,-68.59,28.4,74,75,13.87,CA,2020-10-21 01:51:11
124,Tianpeng,30.99,103.94,64.99,1,97,3.09,CN,2020-10-21 01:49:23
125,Lagoa,39.05,-27.98,62.98,68,28,25.61,PT,2020-10-21 01:50:45
126,Kavaratti,10.57,72.64,81.86,70,86,8.01,IN,2020-10-21 01:51:12
127,Ixtapa,20.7,-105.2,84.2,83,20,3.36,MX,2020-10-21 01:51:13
128,Chuy,-33.7,-53.46,57.96,74,100,13.27,UY,2020-10-21 01:51:13
129,Paamiut,61.99,-49.67,35.26,85,98,1.16,GL,2020-10-21 01:46:31
130,Semey,50.41,80.23,26.6,79,25,8.95,KZ,2020-10-21 01:51:13
131,Tchibanga,-2.85,11.03,71.46,98,100,2.01,GA,2020-10-21 01:51:13
132,Aklavik,68.22,-135.01,23.0,92,90,9.17,CA,2020-10-21 01:51:14
133,Kargil,34.57,76.1,37.53,61,0,3.24,IN,2020-10-21 01:51:14
134,Quatre Cocos,-20.21,57.76,73.99,78,40,12.75,MU,2020-10-21 01:51:14
135,Hay River,60.82,-115.8,24.8,73,75,14.99,CA,2020-10-21 01:50:04
136,Pisco,-13.7,-76.22,64.0,82,2,18.34,PE,2020-10-21 01:51:14
137,Bhuj,23.27,69.67,80.17,80,0,7.38,IN,2020-10-21 01:51:15
138,Sitka,57.05,-135.33,44.6,70,75,3.36,US,2020-10-21 01:49:38
139,Lompoc,34.64,-120.46,60.8,82,90,8.05,US,2020-10-21 01:51:15
140,Khandbari,27.37,87.2,72.5,53,0,0.34,NP,2020-10-21 01:51:15
141,Luderitz,-26.65,15.16,62.06,47,0,15.23,NA,2020-10-21 01:51:16
142,Collie,-33.37,116.15,70.0,41,15,7.61,AU,2020-10-21 01:51:16
143,Mahebourg,-20.41,57.7,73.4,78,40,12.75,MU,2020-10-21 01:51:16
144,Dikson,73.51,80.55,24.03,97,94,5.01,RU,2020-10-21 01:50:33
145,Tatarskaya Pishlya,54.06,44.9,32.92,94,29,12.44,RU,2020-10-21 01:51:17
146,San Luis,-33.3,-66.34,59.36,66,8,12.64,AR,2020-10-21 01:51:17
147,Williams Lake,52.14,-122.14,33.8,83,40,2.24,CA,2020-10-21 01:51:17
148,Saint Anthony,45.02,-93.22,33.01,99,90,3.36,US,2020-10-21 01:51:00
149,Saint-Joseph,-21.37,55.62,69.01,56,8,4.7,RE,2020-10-21 01:51:17
150,Barkhan,29.9,69.53,57.74,28,0,3.02,PK,2020-10-21 01:51:18
151,Carnarvon,-24.87,113.63,71.6,64,75,20.8,AU,2020-10-21 01:50:45
152,Namibe,-15.2,12.15,67.87,84,100,6.96,AO,2020-10-21 01:51:18
153,Fengcheng,40.45,124.07,61.2,66,100,16.04,CN,2020-10-21 01:51:18
154,Marsh Harbour,26.54,-77.06,81.54,74,100,23.82,BS,2020-10-21 01:51:18
155,Anloga,5.79,0.9,78.8,88,20,5.82,GH,2020-10-21 01:51:19
156,Duekoue,6.75,-7.35,70.59,99,38,2.17,CI,2020-10-21 01:51:19
157,Edgewater,28.99,-80.9,78.8,83,75,8.05,US,2020-10-21 01:49:57
158,Eyl,7.98,49.82,78.85,80,0,8.08,SO,2020-10-21 01:51:19
159,Savinka,50.08,47.1,38.16,75,0,10.0,RU,2020-10-21 01:51:19
160,Acapulco,16.86,-99.89,84.2,83,75,6.93,MX,2020-10-21 01:51:18
161,Los Llanos De Aridane,28.66,-17.92,75.2,50,90,6.93,ES,2020-10-21 01:51:20
162,Saint-Augustin,51.23,-58.65,47.05,96,100,10.92,CA,2020-10-21 01:51:20
163,Kavieng,-2.57,150.8,81.91,77,98,7.4,PG,2020-10-21 01:51:20
164,Avarua,-21.21,-159.78,75.2,94,100,6.93,CK,2020-10-21 01:50:55
165,Bud,39.45,-86.18,54.0,100,90,9.17,US,2020-10-21 01:51:21
166,Atuona,-9.8,-139.03,77.97,75,79,15.12,PF,2020-10-21 01:51:21
167,Lang Son,21.83,106.73,67.3,56,18,15.23,VN,2020-10-21 01:51:21
168,Lewiston,44.1,-70.21,55.99,100,90,3.36,US,2020-10-21 01:51:21
169,Qaanaaq,77.48,-69.36,20.41,82,37,6.17,GL,2020-10-21 01:50:44
170,Tessalit,20.2,1.01,80.22,16,0,8.23,ML,2020-10-21 01:51:22
171,Mar Del Plata,-38.0,-57.56,52.0,75,0,5.82,AR,2020-10-21 01:51:22
172,Charlestown,-32.95,151.67,79.0,65,0,3.0,AU,2020-10-21 01:51:22
173,Nichinan,31.6,131.37,73.4,69,75,17.22,JP,2020-10-21 01:51:22
174,Nagua,19.38,-69.85,77.0,86,48,2.21,DO,2020-10-21 01:51:22
175,Flinders,-34.58,150.86,75.99,64,51,8.01,AU,2020-10-21 01:50:37
176,Sasovo,54.35,41.92,34.3,87,71,11.88,RU,2020-10-21 01:51:23
177,Tyup,42.73,78.36,44.82,48,0,2.35,KG,2020-10-21 01:51:23
178,Cherskiy,68.75,161.3,23.02,97,97,4.41,RU,2020-10-21 01:51:24
179,Arraial Do Cabo,-22.97,-42.03,72.46,85,0,20.71,BR,2020-10-21 01:47:46
